code,name,concept
000909,数源科技,['安防服务']
000911,南宁糖业,['生物质能' '海上丝路']
000912,泸天化,['聚氨酯' '成渝特区' '整体上市' '业绩预降']
000913,*ST钱江,['机器人概念' '智能机器' '锂电池' '创投概念' '新三板' 'ST板块']
000915,山大华特,['节能环保' '高校背景' '污水处理' '空气治理' '分拆上市']
000916,华北高速,['太阳能' '参股金融']
000917,电广传媒,['融资融券' '文化振兴' '农村金融' '资产注入' '创投概念' '物联网' '金融参股' '三网融合' '分拆上市' '长株潭']
000918,嘉凯城,['参股金融' '金融参股' '长株潭']
000919,金陵药业,['社保重仓' '民营医院' '参股金融' '抗癌']
000920,南方汇通,['信托重仓' '参股金融' '海水淡化' '新三板' '污水处理' '金融参股' '铁路基建']
000921,海信科龙,['股权激励' '业绩预升' '含H股']
000922,佳电股份,['核电核能']
000923,河北宣工,['创投概念' '京津冀']
000925,众合科技,['股权激励' '污水处理' '业绩预降' '空气治理' '铁路基建']
000926,福星股份,['太阳能' '保障房']
000927,一汽夏利,['融资融券' '社保重仓' '参股金融' '摘帽概念' '业绩预降']
000928,中钢国际,['图们江' '碳纤维' '石墨烯' '金融参股']
000929,兰州黄河,['重组概念' '参股金融' '陕甘宁' '丝绸之路']
000930,中粮生化,['新能源' '参股金融' '生物燃料' '生物质能' '股期概念' '整体上市' '金融参股']
000931,中 关 村,['创投概念' '新三板' '分拆上市']
